orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Keio	set10IT002	LB, Aerobic	7/20/2015 Keio_ML9_set10	555	954600	0	658766	658236	120	444	173.72288202692	0.150040378157464	0.191038898858204	0.730603153713666	0.694363281478147	0.0863249727553007	0.0220479635853325	0.15025696036804	1.33693659084725	lb	LB, Aerobic	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT002	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm														
Keio	set10IT004	LB Aerobic with Phenazine ethosulfate 0.0000625 mM	7/20/2015 Keio_ML9_set10	557	901412	0	630562	630227	59	444	166.330694114542	0.354589202064841	0.260610971998961	0.716207033999409	0.694363281478147	0.212931980292461	-0.0300651216125412	-0.1343357202908	9.65161839730878	stress	LB Aerobic with Phenazine ethosulfate 0.0000625 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT004	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Phenazine ethosulfate	mM	6.25E-02											
Keio	set10IT005	LB Aerobic with Spiramycin 0.000125 mM	7/20/2015 Keio_ML9_set10	558	1012731	0	705994	705460	120	444	186.186328846661	0.322957262721557	0.198028895819116	0.72287834087011	0.694363281478147	0.173352523956066	-0.00748687284782578	0.10492256463594	4.42833916573523	stress	LB Aerobic with Spiramycin 0.000125 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT005	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Spiramycin	mM	0.125											
Keio	set10IT006	LB Aerobic with Spiramycin 0.0000625 mM	7/20/2015 Keio_ML9_set10	559	1051529	0	729527	728846	130	444	192.35840591185	0.3189074586414	0.202565160911351	0.714879502492805	0.694363281478147	0.202767766535328	0.0214120868335457	0.118595708399407	4.53743513680825	stress	LB Aerobic with Spiramycin 0.0000625 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT006	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Spiramycin	mM	6.25E-02											
Keio	set10IT007	LB Aerobic with Oxytetracycline 0.00000125 mM	7/20/2015 Keio_ML9_set10	560	984917	0	733951	732897	96	444	193.427553444181	0.205761813365253	0.212100366183866	0.725819054458714	0.694363281478147	0.143867105219097	-0.00554147799177779	-0.0696931874244904	8.05108440250007	stress	LB Aerobic with Oxytetracycline hydrochloride 0.00000125 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT007	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Oxytetracycline hydrochloride	mM	1.25E-03											
Keio	set10IT008	LB Aerobic with Oxytetracycline 0.0000003125 mM	7/20/2015 Keio_ML9_set10	561	1035563	0	716013	715390	131	444	188.807073106361	0.251387992494039	0.194230264187144	0.712000002073617	0.694363281478147	0.157956355326797	0.0490319231006289	0.104300331293795	2.25490150488086	stress	LB Aerobic with Oxytetracycline hydrochloride 0.0000003125 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT008	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Oxytetracycline hydrochloride	mM	3.13E-04											
Keio	set10IT013	LB Aerobic with Sulfamonomethoxine 0.00025 mM	7/20/2015 Keio_ML9_set10	566	1144887	0	790519	789871	138	444	208.464238585379	0.19579282966964	0.18133439700627	0.719040919944347	0.694363281478147	0.0802940543243833	0.0339020936710198	0.126510593552728	1.15818330501395	stress	LB Aerobic with Sulfamonomethoxine 0.00025 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT013	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Sulfamonomethoxine	mM	0.25											
Keio	set10IT014	LB Aerobic with Sulfamonomethoxine 0.000125 mM	7/20/2015 Keio_ML9_set10	567	1058188	0	731582	730997	131	444	192.926101873845	0.146027844738414	0.191915213717352	0.712809968597633	0.694363281478147	0.122054462113571	0.0813641977691666	0.121993073144722	1.66895468930493	stress	LB Aerobic with Sulfamonomethoxine 0.000125 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT014	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Sulfamonomethoxine	mM	0.125											
Keio	set10IT022	LB Aerobic with Ramoplanin 0.000125 mM	7/20/2015 Keio_ML9_set10	575	1162560	0	809793	809235	133	444	213.574821852732	0.423414793373216	0.305362407786341	0.771754036774719	0.694363281478147	0.214409524256083	0.000626504285111265	0.074543652310484	3.79322348558165	stress	LB Aerobic with Ramoplanin 0.000125 mM	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT022	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm	Ramoplanin	mM	0.125											
Keio	set10IT026	LB, Aerobic	7/20/2015 Keio_ML9_set10	579	1163381	0	803272	802618	146	444	211.82845077857	0.206048705848755	0.187491767913091	0.725825036561006	0.694363281478147	0.177863938887752	0.0786920585801293	0.129955967902468	1.26579735295057	lb	LB, Aerobic	Keio_ML9a	Hans_Hualan	7/20/2015	Keio_ML9_set10	IT026	LB	37		96 deep-well microplate; Multitron	Aerobic	Liquid	750 rpm														
